date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,home_elo,away_elo,elo_difference,match_year,home_form_last5,home_goals_last5,home_conceded_last5,home_goal_difference_last5,home_win_percentage_last5,home_draw_percentage_last5,home_matches_last5,home_average_goals_last5,home_average_conceded_last5,away_form_last5,away_goals_last5,away_conceded_last5,away_goal_difference_last5,away_win_percentage_last5,away_draw_percentage_last5,away_matches_last5,away_average_goals_last5,away_average_conceded_last5,home_clean_sheets_last5,home_failed_to_score_last5,home_winning_streak,home_unbeaten_streak,home_days_since_last_match,home_avg_opponent_elo_last5,home_elo_trend,away_clean_sheets_last5,away_failed_to_score_last5,away_winning_streak,away_unbeaten_streak,away_days_since_last_match,away_avg_opponent_elo_last5,away_elo_trend,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_matches_played,h2h_home_win_percentage,h2h_home_goal_diff,home_advantage,is_world_cup,tournament_type,form_difference,goal_difference_difference,win_percentage_difference,draw_percentage_difference,avg_goals_difference,avg_conceded_difference,clean_sheets_difference,failed_to_score_difference,winning_streak_difference,unbeaten_streak_difference,days_since_last_match_difference,opponent_elo_difference,elo_trend_difference
2016-05-29,Turkey,Montenegro,1.0,0.0,Friendly,Antalya,Turkey,0,Home Win,1823.0,1558.0,265.0,2016,6.0,5.0,4.0,1.0,0.6666666666666666,0.0,3.0,1.6666666666666667,1.3333333333333333,1.0,1.0,2.0,-1.0,0.0,0.5,2.0,0.5,1.0,0.0,0.0,0.0,0.0,7.0,1959.0,0.0,1.0,1.0,0.0,1.0,61.0,1558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,5.0,2.0,0.6666666666666666,-0.5,1.1666666666666667,0.33333333333333326,-1.0,-1.0,0.0,-1.0,-54.0,401.0,0.0
2016-05-30,France,Cameroon,3.0,2.0,Friendly,Nantes,France,0,Home Win,1970.0,1605.0,365.0,2016,6.0,7.0,4.0,3.0,1.0,0.0,2.0,3.5,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,2.0,2.0,62.0,1970.0,0.0,1.0,1.0,0.0,2.0,138.0,1605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,4.0,3.0,1.0,-1.0,3.0,1.5,-1.0,-1.0,2.0,0.0,-76.0,365.0,0.0
2016-05-30,Gambia,Zambia,0.0,0.0,Friendly,Bakau,Gambia,0,Draw,1298.0,1498.0,-200.0,2016,1.0,1.0,2.0,-1.0,0.0,0.5,2.0,0.5,1.0,2.0,2.0,3.0,-1.0,0.0,0.6666666666666666,3.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,62.0,1298.0,0.0,0.0,1.0,0.0,0.0,3.0,1443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,-1.0,0.0,0.0,-0.16666666666666663,-0.16666666666666663,0.0,1.0,0.0,0.0,1.0,59.0,-145.0,0.0
2016-05-30,Sweden,Slovenia,0.0,0.0,Friendly,Malmö,Sweden,0,Draw,1760.0,1622.0,138.0,2016,5.0,6.0,4.0,2.0,0.25,0.5,4.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,62.0,1760.0,0.0,0.0,0.0,0.0,0.0,30.0,1622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,5.0,2.0,0.25,0.5,1.5,1.0,1.0,0.0,0.0,1.0,32.0,138.0,0.0
2016-05-31,Ireland,Belarus,1.0,2.0,Friendly,Cork,Republic of Ireland,0,Away Win,1774.0,1579.0,195.0,2016,5.0,4.0,3.0,1.0,0.3333333333333333,0.6666666666666666,3.0,1.3333333333333333,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,1901.0,0.0,2.0,2.0,0.0,2.0,63.0,1579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,3.0,1.0,0.3333333333333333,-0.33333333333333337,1.3333333333333333,1.0,-1.0,-2.0,0.0,1.0,-59.0,322.0,0.0
2016-05-31,Kenya,Sudan,1.0,1.0,Friendly,Nairobi,Kenya,0,Draw,1352.0,1299.0,53.0,2016,1.0,1.0,3.0,-2.0,0.0,0.3333333333333333,3.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1279.5,0.0,0.0,0.0,0.0,0.0,30.0,1299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1.0,-2.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,2.0,0.0,1.0,-28.0,-19.5,0.0
2016-05-31,Luxembourg,Nigeria,1.0,3.0,Friendly,Luxembourg,Luxembourg,0,Away Win,1244.0,1612.0,-368.0,2016,0.0,0.0,2.0,-2.0,0.0,0.0,1.0,0.0,2.0,4.0,2.0,2.0,0.0,0.3333333333333333,0.3333333333333333,3.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,0.0,63.0,1244.0,0.0,1.0,1.0,1.0,1.0,4.0,1612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,-4.0,-2.0,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,1.3333333333333335,-1.0,0.0,-1.0,-1.0,59.0,-368.0,0.0
2016-05-31,Serbia,Israel,3.0,1.0,Friendly,Novi Sad,Serbia,0,Home Win,1716.0,1574.0,142.0,2016,6.0,3.0,2.0,1.0,0.6666666666666666,0.0,3.0,1.0,0.6666666666666666,0.0,0.0,2.0,-2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,6.0,1716.0,0.0,0.0,1.0,0.0,0.0,69.0,1574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,6.0,3.0,0.6666666666666666,0.0,1.0,-1.3333333333333335,1.0,0.0,2.0,2.0,-63.0,142.0,0.0
2016-05-31,Vietnam,Syria,2.0,0.0,Friendly,Thanh Hóa,Vietnam,0,Home Win,1212.0,1519.0,-307.0,2016,3.0,4.0,2.0,2.0,0.5,0.0,2.0,2.0,1.0,6.0,7.0,5.0,2.0,0.6666666666666666,0.0,3.0,2.3333333333333335,1.6666666666666667,0.0,1.0,0.0,0.0,63.0,1212.0,0.0,2.0,1.0,0.0,0.0,63.0,1519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,-3.0,0.0,-0.16666666666666663,0.0,-0.3333333333333335,-0.6666666666666667,-2.0,0.0,0.0,0.0,0.0,-307.0,0.0
2016-06-01,Czechia,Russia,2.0,1.0,Friendly,Innsbruck,Austria,1,Home Win,1754.0,1770.0,-16.0,2016,4.0,7.0,2.0,5.0,0.3333333333333333,0.3333333333333333,3.0,2.3333333333333335,0.6666666666666666,3.0,5.0,4.0,1.0,0.5,0.0,2.0,2.5,2.0,1.0,1.0,1.0,2.0,5.0,1754.0,0.0,1.0,0.0,0.0,0.0,64.0,1425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,4.0,-0.16666666666666669,0.3333333333333333,-0.16666666666666652,-1.3333333333333335,0.0,1.0,1.0,2.0,-59.0,329.0,0.0
